Altium Designer Pick and Place Locations
E:\ST-Link-V2.1\1.Hardware\ST-Link-V2.1-PRJ\Project Outputs for ST-Link-V2.1\Pick Place for ST-Link-V2.1.csv

========================================================================================================================
File Design Information:

Date:       06/01/24
Time:       10:56
Revision:   9ac6d91ed614b503c41cceaa97a253ca3330abb7
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"JP4","CON-8P","TopLayer","FPC0.5-WT-8P-双侧触点","1118.110","472.441","180","8P连接器"
"C11","1uF","TopLayer","C0402_M","740.158","59.055","90","贴片电容/MLCC电容"
"C10","1uF","TopLayer","C0402_M","696.850","59.055","90","贴片电容/MLCC电容"
"U2","XC6206P332MR","TopLayer","SOT23-3N","595.000","80.000","180","LDO 3.3V/0.25A"
"R22","5.1K","TopLayer","R0402_M","98.425","47.244","180","贴片电阻"
"R21","5.1K","TopLayer","R0402_M","98.425","543.307","180","贴片电阻"
"R20","1K","TopLayer","R0402_M","496.063","535.433","90","贴片电阻"
"R19","1K","TopLayer","R0402_M","1220.472","129.921","0","贴片电阻"
"R18","1K","TopLayer","R0402_M","1196.850","204.724","270","贴片电阻"
"R17","1K5","TopLayer","R0402_M","401.575","354.331","0","贴片电阻"
"R16","10K","TopLayer","R0402_M","401.575","259.842","0","贴片电阻"
"R15","10R","TopLayer","R0402_M","188.976","47.244","0","贴片电阻"
"R14","10R","TopLayer","R0402_M","188.976","543.307","0","贴片电阻"
"R13","100R","TopLayer","R0402_M","401.575","212.598","180","贴片电阻"
"R12","10K","TopLayer","R0402_M","401.575","307.087","0","贴片电阻"
"Q1","S9013","TopLayer","SOT23-3N","401.575","492.126","90","低频放大-NPN型"
"LED5","RED","TopLayer","LED0603_R","480.313","362.208","270","贴片LED"
"LED4","BLUE","TopLayer","LED0603_B","1291.340","70.863","90","贴片LED"
"LED3","GREEN","TopLayer","LED0603_G","1291.337","196.850","90","贴片LED"
"JP3","HDR-1X4","TopLayer","HDR1.27-LI-4P","905.512","59.055","0","4P接插件"
"F2","6V 100mA","TopLayer","F0805","1149.606","55.118","0","方形保险丝"
"F1","6V 100mA","TopLayer","F0805","401.575","102.362","90","方形保险丝"
"D1","1N5819","TopLayer","SOD-323","480.315","102.362","90","肖特基二极管"
"C9","100nF","TopLayer","C0402_M","275.591","47.244","180","贴片电容/MLCC电容"
"C8","100nF","TopLayer","C0402_M","275.591","543.307","180","贴片电容/MLCC电容"
"X1","8MHz","TopLayer","OSC-5032-2P","1102.362","220.472","270","2脚无源晶振(谐振器）"
"USBC1","TYPE-C 2.0 -16P","TopLayer","USB-C-SMD_16P","196.850","295.276","90","USB2.0_Type-C_16Pin母座"
"U1","STM32F103CBT6","TopLayer","STM-LQFP48_N","716.535","366.142","180","STM32 ARM-based 32-bit MCU Performance Line with 128 kB Flash, 20 kB Internal RAM, -40 to +85癈 Temperature, 48-Pin LQFP, Tray"
"R11","4K7","TopLayer","R0402_M","984.252","366.142","0","贴片电阻"
"R10","4K7","TopLayer","R0402_M","1070.866","366.142","0","贴片电阻"
"R9","100K","TopLayer","R0402_M","1240.158","366.142","0","贴片电阻"
"R6","1K","TopLayer","R0402_M","1196.850","299.213","270","贴片电阻"
"R5","100R","TopLayer","R0402_M","480.315","244.095","90","贴片电阻"
"R4","4K7","TopLayer","R0402_M","716.535","129.921","0","贴片电阻"
"R3","10K","TopLayer","R0402_M","818.898","133.858","0","贴片电阻"
"R2","10K","TopLayer","R0402_M","992.126","192.913","180","贴片电阻"
"R1","10K","TopLayer","R0402_M","992.126","133.858","0","贴片电阻"
"LED1","RED","TopLayer","LED0603_R","1358.264","555.904","0","贴片LED"
"JP2","HDR-1X5","BottomLayer","HDR2.54-WS-5P","1496.063","295.276","90","5P接插件"
"JP1","HDR-1X5","TopLayer","HDR2.54-WS-5P","1496.063","295.276","270","5P接插件"
"C7","100nF","TopLayer","C0402_M","1157.480","366.142","0","贴片电容/MLCC电容"
"C6","100nF","TopLayer","C0402_M","906.776","536.777","0","贴片电容/MLCC电容"
"C5","100nF","TopLayer","C0402_M","885.827","196.850","45","贴片电容/MLCC电容"
"C4","100nF","TopLayer","C0402_M","555.000","205.000","135","贴片电容/MLCC电容"
"C3","100nF","TopLayer","C0402_M","543.307","535.433","270","贴片电容/MLCC电容"
"C2","20pF","TopLayer","C0402_M","905.512","133.858","0","贴片电容/MLCC电容"
"C1","20pF","TopLayer","C0402_M","992.126","244.095","180","贴片电容/MLCC电容"
